;;;;;;;;;;;;;;;
LABORATUVAR SARF MALZEMELERİ — ÜRÜN GİRİŞ ŞABLONU;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NO;ÜRÜN KİMLİĞİ;;;;TEKNİK ÖZELLİKLER;;;;;PAKETLEME;;TEDARİKÇİ;WEB / NOTLAR;;
9;GlobalFiler™ PCR Amplifikasyon Kiti, 200 test;GlobalFiler™ PCR Amplification Kit, 200 tests;4476135;Thermo Fisher Scientific, USA;Genomik & Sekanslama;STR PCR amplification kit;4 набор/ kit;"6-dye, 24-locus STR kit for casework samples; ~80 min amplification; CODIS/ENFSI compatible; 10 mini-STRs included";"The GlobalFiler PCR Amplification Kit is the first 6-dye, 24-locus STR kit that combines maximum compatibility with global databasing loci standards, with dramatically reduced amplification time and superior discrimination power, helping to enable forensic DNA labs worldwide to maximize information recovery and improve overall efficiency. The GlobalFiler kit is part of a fully integrated and validated forensic DNA workflow backed by best-in-class global training, service, and support. This kit is optimized for casework samples and is also available in a format containing an internal quality control (IQC) system (Cat. No. A43565), helping forensic DNA labs worldwide maximize information recovery and improve overall efficiency. For database and single-source samples, please see our GlobalFiler Express PCR Amplification Kit (Cat. No. 4476609).

Key Features:

Efficient protocols minimize amplification time compared to previous-generation kits
An optimized buffer system and expanded DNA input volume delivers maximum sensitivity for trace/low level DNA samples
Enhanced intracolor balance simplifies interpretation of mixture samples
The inclusion of 10 mini-STRs maximizes results from degraded samples
The only kit with all markers recommended for inclusion by the CODIS Core Loci Working Group, including all markers commonly used in Europe, for maximum global database compatibility
The GlobalFiler kit is a robust and reliable single-amplification STR multiplex kit optimized for use with the most challenging casework samples. The kit leverages new dyes for the incorporation of additional markers, generating the most discriminating kit available to the forensic community. The kit contains all of the markers included in the major global databases, including 10 mini-STRs, designed to deliver optimized results with even highly degraded samples.

Developed specifically for casework applications, the GlobalFiler kit contains a buffer system that delivers greater sensitivity for enhanced performance with inhibited and low-concentration DNA samples. The GlobalFiler kit utilizes the latest advances in oligo synthesis and purification, which provide a clean baseline and a balanced profile, resulting in simplified data analysis. Maintenance of the NGM SElect and Identifiler primer sequences helps ensure maximum concordance with previously typed samples. In addition, multiple gender markers have been added to the multiplex to enable accurate typing of male samples, even highly degraded or Y-negative samples, while increased genotyping accuracy is obtained with the expansion of the allelic ladder allele ranges to include all rare alleles as described in the literature (STRbase).

Experience Matters

We are the only company in the world that designs and validates its reagents, instruments, and data analysis software together as an integrated system for DNA testing. Technical service scientists and field application specialists are available to answer your technical questions, review data, and make recommendations on how to perform assays and troubleshoot results. All of these resources help ensure success when using Applied Biosystems human identification solutions in your laboratory.

For licensing and limited use restrictions visit thermofisher.com/HIDlicensing.
";Kit;200 rxn;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4476135;"Store at -15°C to -25°C; after opening store at 2–8°C for up to 6 months";
10;Prep-n-Go™ tamponu (bukkal sürüntüler için), 200 reaksiyon;Prep-n-Go™ Buffer (for buccal swabs), 200 rxn;4471406;Life Technologies Corporation;Genomik & Sekanslama;Direct PCR buffer;4 упак/ pack;"Buffer enabling direct PCR amplification from buccal swabs without extraction; 200 rxn";"Prep-n-Go™ Buffer (for buccal swabs) is a best-in-class buffer designed to enable high-quality direct PCR amplification of single source samples collected on buccal swabs and amplified using the AmpFLSTR™ Identifiler™ Direct PCR Amplification Kit or other Applied Biosystems™ STR direct chemistries. This product expands direct PCR amplification capabilities to laboratories that use a wide variety of substrates, and is readily adaptable to both manual and automated workflows. No purification, extraction, or quantification is required, thus enabling laboratories to significantly expand their throughput capabilities, while also maximizing sample integrity and data quality.

Key Features:

• Designed to provide consistent, interpretable peaks above the detection threshold, and high quality, well-balanced STR profiles
• Helps simplify automation requirements and expand throughput capabilities
• Helps maximize sample integrity and data quality
• Developed according to stringent performance standards to enable higher data reproducibility, reduced artifacts, and increased success rates with Applied Biosystems™ STR direct amplification solutions";Pack;200 rxn;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4471406;Store at -20°C;
11;Adli DNA Ekstraksiyon Kiti, PrepFiler Express™, 52 test;Forensic DNA Extraction Kit, PrepFiler Express™, 52 tests;4441352;Life Technologies Corporation;Genomik & Sekanslama;DNA extraction kit;7 набор/ kit;"Forensic DNA extraction kit for casework samples using magnetic bead technology; 52 tests/kit";"This kit is for use with the AutoMate Express Forensic DNA Extraction System. It is suitable for the majority of standard sample types encountered in forensic laboratories such as bodily fluids on different substrates including FTA paper, cotton swabs, cotton cloth, denim and many others. We have designed the PrepFiler chemistry specifically to improve the quantity and quality of DNA isolated from forensic samples, thereby increasing the potential to obtain maximum information from downstream Short Tandem Repeat (STR) analysis.

Key Product Features:
• Designed to improve the yield and overall purity of DNA isolated from both routine and challenging forensic samples.
• Provides high quality DNA, free of PCR inhibitors and suitable for downstream applications such as quantitative real-time PCR and short tandem repeat (STR) analysis
• Simple and fast separation of substrate from lysate with the unique PrepFiler LySep Column
• Quick and easy run setup with ready-to-use pre-filled cartridges
• Closed system that minimizes the risk of contamination and transposition errors
• Processes 1 to 13 samples in a single run
• Rapid implementation with pre-validated, pre-programmed instrument protocols
• Integrated solution including novel reagents, consumables and automation to provide time saving, cost effective and reliable DNA extraction
• Improves downstream genotyping (STR) success rate and profile quality

Streamlined Off-Line Lysis
The PrepFiler Express Kits include the innovative PrepFiler LySep Column, which dramatically streamlines the off-line lysis portion of the extraction method. PrepFiler Lysis buffer or PrepFiler BTA Lysis buffer is added directly into the PrepFiler LySep Column along with the sample for incubation. Next, the PrepFiler LySep Column is quickly centrifuged which permits lysate flow through the burstable membrane while the substrate remains behind in the column. The sample tube is then simply ready to be placed on the AutoMate Express instrument. This eliminates the manual lysate and substrate transfer steps, saving time and minimizing cross contamination and sample transposition events.

For Research, Forensic, or Paternity Use Only. Not intended for any animal or human therapeutic or diagnostic use.";Kit;52 tests;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4441352;"Store at RT; ISO 18385 compliant";
12;Adli DNA Ekstraksiyon Kiti, PrepFiler Express BTA™, 52 test;Forensic DNA Extraction Kit, PrepFiler Express BTA™, 52 tests;4441351;Life Technologies Corporation;Genomik & Sekanslama;DNA extraction kit;7 набор/ kit;"Forensic DNA extraction kit with BTA reagents for challenging matrices; 52 tests/kit";"This kit is for use with the AutoMate Express Forensic DNA Extraction System. It was designed specifically for challenging samples such as bones, teeth and adhesive based samples such as cigarette butts and tape lifts. We have designed the PrepFiler chemistry specifically to improve the quantity and quality of DNA isolated from forensic samples, thereby increasing the potential to obtain maximum information from downstream Short Tandem Repeat (STR) analysis.

Key Product Features:
• Designed to improve the yield and overall purity of DNA isolated from both routine and challenging forensic samples.
• Provides high quality DNA, free of PCR inhibitors and suitable for downstream applications such as quantitative real-time PCR and short tandem repeat (STR) analysis
• Simple and fast separation of substrate from lysate with the unique PrepFiler LySep Column
• Quick and easy run setup with ready-to-use pre-filled cartridges
• Closed system that minimizes the risk of contamination and transposition errors
• Processes 1 to 13 samples in a single run
• Rapid implementation with pre-validated, pre-programmed instrument protocols
• Integrated solution including novel reagents, consumables and automation to provide time saving, cost effective and reliable DNA extraction
• Improves downstream genotyping (STR) success rate and profile quality

Streamlined Off-Line Lysis
The PrepFiler Express Kits include the innovative PrepFiler LySep Column, which dramatically streamlines the off-line lysis portion of the extraction method. PrepFiler Lysis buffer or PrepFiler BTA Lysis buffer is added directly into the PrepFiler LySep Column along with the sample for incubation. Next, the PrepFiler LySep Column is quickly centrifuged which permits lysate flow through the burstable membrane while the substrate remains behind in the column. The sample tube is then simply ready to be placed on the AutoMate Express instrument. This eliminates the manual lysate and substrate transfer steps, saving time and minimizing cross contamination and sample transposition events.

For Research, Forensic, or Paternity Use Only. Not intended for any animal or human therapeutic or diagnostic use.";Kit;52 tests;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4441351;"Store at RT; ISO 18385 compliant";
13;"Kan lekesi tanımlama için ""Seratec PMB"" testi, 30 test";Test for blood stain identification, 30 tests;LOT 240032;Seratec GmbH, Germany;Biyokimya;Blood stain identification test;50 упак/ pack;Test detects the presence of human hemoglobin and D-dimer (a degradation protein found in menstrual blood). This monoclonal antibody test is robust and easy to use in both the laboratory and the field. ;"Benefits

30 individually sealed cassettes and 30 tubes with 1.5mL each of dilution buffer;
Fast and reliable: results in only 10 minutes;
Sensitive: detects as little as 20ng/mL of human hemoglobin and 400 ng/mL of D-dimer;
Simple: easy to use, no special training necessary; and
Compatible with DNA extraction and typing.";Pack;30 tests;Seratec GmbH;;;
14;İnsan serum proteinlerine karşı antiserum, Hematolog, 324HV;Antiserum against human serum proteins, Hematolog, 324HV;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;160 ml / мл;;Кроличьи антитела для определения наличия сывороточных белков человека в судебно-медицинском материале. Фасовка – стеклянный флакон по 1-2 мл.;Bottle;160 mL;Gematolog, Russia;;;
15;Domuz serum proteinlerine karşı antiserum, Hematolog, 226SV;Antiserum against porcine serum proteins, Hematolog, 226SV;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;10 ml / мл;;Кроличьи антитела для определения наличия сывороточных белков свиньи в судебно-медицинском материале. Фасовка – стеклянный флакон по 1-2 мл;Bottle;10 mL;Gematolog, Russia;;;
16;Sığır serum proteinlerine karşı antiserum, Hematolog, 162RS;Antiserum against bovine serum proteins, Hematolog, 162RS;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;20 ml / мл;;Кроличьи антитела для определения наличия сывороточных белков крупного рогатого скота в судебно-медицинском материале. Фасовка – стеклянный флакон по 1-2 мл;Bottle;20 mL;Gematolog, Russia;;;
17;At serum proteinlerine karşı antiserum, Hematolog, 160-1LSH;Antiserum against equine serum proteins, Hematolog, 160-1LSH;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;10 ml / мл;;Кроличьи антитела для определения наличия сывороточных белков лошади в судебно-медицинском материале. Фасовка – стеклянный флакон по 1-2 мл;Bottle;10 mL;Gematolog, Russia;;;
18;Kuş serum proteinlerine karşı antiserum, Hematolog, 215-1PT;Antiserum against avian serum proteins, Hematolog, 215-1PT;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;15 ml / мл;;Кроличьи антитела для определения наличия сывороточных белков птицы в судебно-медицинском материале. Фасовка – стеклянный флакон по 1-2 мл;Bottle;15 mL;Gematolog, Russia;;;
19;Köpek serum proteinlerine karşı antiserum, Hematolog, 163SB;Antiserum against dog serum proteins, Hematolog, 163SB;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / мл;;Кроличьи антитела для определения наличия сывороточных белков собаки в судебно-медицинском материале. Фасовка – стеклянный флакон по 1-2 мл;Bottle;5 mL;Gematolog, Russia;;;
20;Kedi serum proteinlerine karşı antiserum, Hematolog, 145-1KSH;Antiserum against cat serum proteins, Hematolog, 145-1KSH;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / мл;;Кроличьи антитела для определения наличия сывороточных белков кошки в судебно-медицинском материале. Фасовка – стеклянный флакон по 1-2 мл.;Bottle;5 mL;Gematolog, Russia;;;
21;Tavşan serum proteinlerine karşı antiserum;Antiserum against rabbit serum proteins;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / мл;;;Bottle;5 mL;Gematolog, Russia;;;
22;Anti-M hemaglütinasyon serumu (solyclon Anti-M);Anti-M hemagglutinating serum (solyclon Anti-M);;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / мл;;;Bottle;30 mL;Gematolog, Russia;;;
23;Anti-N hemaglütinasyon serumu (solyclon Anti-N);Anti-N hemagglutinating serum (solyclon Anti-N;;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / мл;;;Bottle;30 mL;Gematolog, Russia;;;
24;Anti-P hemaglütinasyon serumu (solyclon Anti-P);Anti-P hemagglutinating serum (solyclon Anti-P);;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / мл;;;Bottle;30 mL;Gematolog, Russia;;;
25;Kell hemaglütinasyon serumu;Kell hemagglutinating serum;;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / мл;;;Bottle;30 mL;Gematolog, Russia;;;
26;Kan gruplaması için Anti-A monoklonal antikorlar, 797F;Anti-A Monoclonal Antibodies for Blood Typing, 797F;№ФСР 2008/04007 — регистрационное удостоверение на медицинское изделие «Цоликлоны Анти-А, Анти-В и Анти-АВ» (антитела моноклональные анти-А, анти-В, анти-АВ) по ТУ 9398-001-27575295-2004;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;500 ml / мл;;;Bottle;500 mL;Gematolog, Russia;;;
27;Kan gruplaması için Anti-B monoklonal antikorlar, 798F;Anti-B Monoclonal Antibodies for Blood Typing, 798F;№ФСР 2008/04007 — регистрационное удостоверение на медицинское изделие «Цоликлоны Анти-А, Анти-В и Анти-АВ» (антитела моноклональные анти-А, анти-В, анти-АВ) по ТУ 9398-001-27575295-2004;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;500 ml / мл;;;Bottle;500 mL;Gematolog, Russia;;;
28;Kan gruplaması için Anti-H monoklonal antikorlar, 31-7;Anti-H Monoclonal Antibodies for Blood Typing, 31-7;;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;100 ml / мл;;;Bottle;100 mL;Gematolog, Russia;;;
29;Anti-D monoklonal kan gruplama reaktifi, 918;Anti-D monoclonal blood grouping reagent, 918;;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;30 ml / мл;;;Bottle;30 mL;Gematolog, Russia;;;
