;;;;;;;;;;;;;;
LABORATUVAR SARF MALZEMELERÝ — ÜRÜN GÝRÝÞ ÞABLONU;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
NO;ÜRÜN KÝMLÝÐÝ;;;;TEKNÝK ÖZELLÝKLER;;;;PAKETLEME;;TEDARÝKÇÝ;WEB / NOTLAR;;
9;GlobalFiler™ PCR Amplifikasyon Kiti, 200 test;GlobalFiler™ PCR Amplification Kit, 200 tests;4476135;Thermo Fisher Scientific, USA;Genomik & Sekanslama;STR PCR amplification kit;4 ?????/ kit;"6-dye, 24-locus STR kit for casework samples; ~80 min amplification; CODIS/ENFSI compatible; 10 mini-STRs included";Kit;200 rxn;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4476135;"Store at -15°C to -25°C; after opening store at 2–8°C for up to 6 months";
10;Prep-n-Go™ tamponu (bukkal sürüntüler için), 200 reaksiyon;Prep-n-Go™ Buffer (for buccal swabs), 200 rxn;4471406;Life Technologies Corporation;Genomik & Sekanslama;Direct PCR buffer;4 ????/ pack;"Buffer enabling direct PCR amplification from buccal swabs without extraction; 200 rxn";Pack;200 rxn;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4471406;Store at -20°C;
11;Adli DNA Ekstraksiyon Kiti, PrepFiler Express™, 52 test;Forensic DNA Extraction Kit, PrepFiler Express™, 52 tests;4441352;Life Technologies Corporation;Genomik & Sekanslama;DNA extraction kit;7 ?????/ kit;"Forensic DNA extraction kit for casework samples using magnetic bead technology; 52 tests/kit";Kit;52 tests;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4441352;"Store at RT; ISO 18385 compliant";
12;Adli DNA Ekstraksiyon Kiti, PrepFiler Express BTA™, 52 test;Forensic DNA Extraction Kit, PrepFiler Express BTA™, 52 tests;4441351;Life Technologies Corporation;Genomik & Sekanslama;DNA extraction kit;7 ?????/ kit;"Forensic DNA extraction kit with BTA reagents for challenging matrices; 52 tests/kit";Kit;52 tests;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4441351;"Store at RT; ISO 18385 compliant";
13;"Kan lekesi tanýmlama için ""Seratec PMB"" testi, 30 test";"""Seratec PMB"" test for blood stain identification, 30 tests";LOT 240032;Seratec GmbH, Germany;Biyokimya;Blood stain identification test;50 ????/ pack;;Pack;30 tests;Seratec GmbH;;;
14;Ýnsan serum proteinlerine karþý antiserum, Hematolog, 324HV;Antiserum against human serum proteins, Hematolog, 324HV;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;160 ml / ??;;Bottle;160 mL;Gematolog, Russia;;;
15;Domuz serum proteinlerine karþý antiserum, Hematolog, 226SV;Antiserum against porcine serum proteins, Hematolog, 226SV;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;10 ml / ??;;Bottle;10 mL;Gematolog, Russia;;;
16;Sýðýr serum proteinlerine karþý antiserum, Hematolog, 162RS;Antiserum against bovine serum proteins, Hematolog, 162RS;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;20 ml / ??;;Bottle;20 mL;Gematolog, Russia;;;
17;At serum proteinlerine karþý antiserum, Hematolog, 160-1LSH;Antiserum against equine serum proteins, Hematolog, 160-1LSH;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;10 ml / ??;;Bottle;10 mL;Gematolog, Russia;;;
18;Kuþ serum proteinlerine karþý antiserum, Hematolog, 215-1PT;Antiserum against avian serum proteins, Hematolog, 215-1PT;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;15 ml / ??;;Bottle;15 mL;Gematolog, Russia;;;
19;Köpek serum proteinlerine karþý antiserum, Hematolog, 163SB;Antiserum against dog serum proteins, Hematolog, 163SB;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / ??;;Bottle;5 mL;Gematolog, Russia;;;
20;Kedi serum proteinlerine karþý antiserum, Hematolog, 145-1KSH;Antiserum against cat serum proteins, Hematolog, 145-1KSH;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / ??;;Bottle;5 mL;Gematolog, Russia;;;
21;Tavþan serum proteinlerine karþý antiserum;Antiserum against rabbit serum proteins;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / ??;;Bottle;5 mL;Gematolog, Russia;;;
22;Anti-M hemaglütinasyon serumu (solyclon Anti-M);Anti-M hemagglutinating serum (solyclon Anti-M);;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / ??;;Bottle;30 mL;Gematolog, Russia;;;
23;Anti-N hemaglütinasyon serumu (solyclon Anti-N);Anti-N hemagglutinating serum (solyclon Anti-N;;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / ??;;Bottle;30 mL;Gematolog, Russia;;;
24;Anti-P hemaglütinasyon serumu (solyclon Anti-P);Anti-P hemagglutinating serum (solyclon Anti-P);;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / ??;;Bottle;30 mL;Gematolog, Russia;;;
25;Kell hemaglütinasyon serumu;Kell hemagglutinating serum;;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / ??;;Bottle;30 mL;Gematolog, Russia;;;
26;Kan gruplamasý için Anti-A monoklonal antikorlar, 797F;Anti-A Monoclonal Antibodies for Blood Typing, 797F;???? 2008/04007 — ??????????????? ????????????? ?? ??????????? ??????? «????????? ????-?, ????-? ? ????-??» (???????? ?????????????? ????-?, ????-?, ????-??) ?? ?? 9398-001-27575295-2004;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;500 ml / ??;;Bottle;500 mL;Gematolog, Russia;;;
27;Kan gruplamasý için Anti-B monoklonal antikorlar, 798F;Anti-B Monoclonal Antibodies for Blood Typing, 798F;???? 2008/04007 — ??????????????? ????????????? ?? ??????????? ??????? «????????? ????-?, ????-? ? ????-??» (???????? ?????????????? ????-?, ????-?, ????-??) ?? ?? 9398-001-27575295-2004;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;500 ml / ??;;Bottle;500 mL;Gematolog, Russia;;;
28;Kan gruplamasý için Anti-H monoklonal antikorlar, 31-7;Anti-H Monoclonal Antibodies for Blood Typing, 31-7;;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;100 ml / ??;;Bottle;100 mL;Gematolog, Russia;;;
29;Anti-D monoklonal kan gruplama reaktifi, 918;Anti-D monoclonal blood grouping reagent, 918;;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;30 ml / ??;;Bottle;30 mL;Gematolog, Russia;;;
30;Mikrotom býçaklarý;Microtome blades;ITEM ? 28407004;Plasma Blade LPH;Genel Sarf;Histology blade;100 ????/ pack;;Pack;100;Plasma Blade LPH;;;
31;Mayer Hematoksilin 1 L, BioWitrum;Mayer's Hematoxylin 1 L., BioWitrum;H?-G0-DL01;BioWitrum, Russia;Biyokimya;Histological staining reagent;10 ?????/ liter;;Bottle;1 L;BioWitrum, Russia;;;
32;Eozin su-alkollü konsantre 0,5 L, BioWitrum;Eosin water-alcoholic concentrated 0,5 L, BioWitrum;H?-EK-A500;BioWitrum, Russia;Biyokimya;Histological staining reagent;20 ?????/ liter;;Bottle;500 mL;BioWitrum, Russia;;;
33;PURELAB Option-R 7/15 ters ozmoz filtre kartuþu;PURELAB Option-R 7/15   Cartridge for reverse osmosis filters;LC143 Purelab Option 7/15 Reverse Osmosis;ELGA VEOLIA;Su Arýtma;Reverse osmosis membrane cartridge;33 pcs;"RO membrane cartridge for PURELAB Option-R 7/15 / Medica; removes inorganic & organic compounds; lifespan ~24 months";Cartridge;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Pulse.pdf;Replace every 24 months or when flow rate drops;
34;Purelab Option-R için UV lamba;UV lamp for Purelab Option-R;LC105 Purelab Option 7/15;ELGA VEOLIA;Su Arýtma;UV lamp for water purifier;33 pcs;"UV lamp (LC105) for PURELAB Option-R / Pulse; 254 nm germicidal UV; lifespan ~18 months";Lamp;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Pulse.pdf;Replace every 12 months;
35;Purelab Option-R için saflaþtýrma paketi;Purification pack for Purelab Option-R;LC214 Purelab flex 3&4 Purification pack;ELGA VEOLIA;Su Arýtma;Purification cartridge pack;30 pcs;"LC214 DI purification pack for PURELAB flex 3/4; mixed-bed ion exchange resin; lifespan ~6 months";Pack;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Flex_3.pdf;Replace every 6 months;
36;UV lamba 185/254 nm;UV lamp 185/254nm;LC210-02 Purelab flex 3&4 UV lamp;ELGA VEOLIA;Su Arýtma;UV lamp for water purifier;30 pcs;"UV lamp 185/254 nm (LC210-02) for PURELAB flex 3/4; destroys organics and bacteria; lifespan ~18 months";Lamp;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Flex_3.pdf;Replace every 12-18 months;
37;Gliserin;Glycerin;??? VKTN-138 ??? 2632140072;Siemens Healthcare Diagnostics, USA;Genel Sarf;Glycerol / sample mounting medium;5 ??./ pcs;"Glycerin (Glycerol) ?99.5% purity; pharmaceutical grade; used as mounting medium and preservative";Bottle;1;Siemens Healthcare Diagnostics;https://www.labor.com.tr/urun/gliserin-99-5-farma-kalite-pur-gr-1-lt;Store at RT;
38;Emit® II Plus Etil Alkol reaktifi, 115 ml;Emit® II Plus EthylAlcohol reagent, 115 ml;Art 10445452 REF 9K309;Siemens Healthcare Diagnostics, USA;Biyokimya;EMIT ethanol assay reagent;60 ????/ pack;"EMIT II Plus Ethyl Alcohol reagent for quantitative ethanol determination in serum/plasma; 115 mL; for use with Viva/Dimension analyzer";Bottle;115 mL;Siemens Healthcare Diagnostics;https://mms.mckesson.com/product/1033981/Siemens-10445452;"Store at 2–8°C; REF 9K309";
39;EMIT® Alkol Yüksek Kontrol 300 mg/dL, 1x3 ml;EMIT® Alcohol High Control 300 MG/DL, 1x3 ml;Art 10445449 REF 9K079;Siemens Healthcare Diagnostics, USA;Biyokimya;EMIT ethanol control;4 ????/ pack;"EMIT Alcohol High Control 300 mg/dL; 1×3 mL; for QC of ethanol assay on clinical analyzers";Vial;1×3 mL;Siemens Healthcare Diagnostics;https://www.fishersci.com/shop/products/alcohol-high-control/01818110;"Store at 2–8°C; REF 9K079";
40;EMIT® Etil Alkol Düþük Kontrol 40 mg/dL, 1x3 ml;EMIT® Ethyl Alcohol Low Control 40 MG/DL, 1x3 ml;ART 10445447  REF 9K049;Siemens Healthcare Diagnostics, USA;Biyokimya;EMIT ethanol control;4 ????/ pack;"EMIT Ethyl Alcohol Low Control 40 mg/dL; 1×3 mL; for QC of ethanol assay";Vial;1×3 mL;Siemens Healthcare Diagnostics;https://www.fishersci.com/shop/products/alcohol-low-control/01818114;"Store at 2–8°C; REF 9K049";
41;EMIT® Alkol Negatif Kalibratör, 1x3 ml;EMIT® Alcohol Negative Calibrator, 1x3 ml;ART 10445445  REF 9K029;Siemens Healthcare Diagnostics, USA;Biyokimya;EMIT ethanol calibrator;4 ????/ pack;"EMIT Alcohol Negative Calibrator; 1×3 mL; zero-level calibrator for ethanol assay";Vial;1×3 mL;Siemens Healthcare Diagnostics;https://www.fishersci.com/shop/products/alcohol-negative-calibrator/21280115;"Store at 2–8°C; REF 9K029";
42;EMIT® Alkol Kalibratörü 100 mg/dL, 1x3 ml;EMIT® Alcohol Calibrator 100 MG/DL, 1x3 ml;ART 10445448 REF 9K059;Elitech Clinical Systems, France;Biyokimya;EMIT ethanol calibrator;4 ????/ pack;"EMIT Alcohol Calibrator 100 mg/dL; 1×3 mL; mid-level calibrator for ethanol assay";Vial;1×3 mL;Elitech Clinical Systems, France;https://www.fishersci.com/shop/products/alcohol-calibrator/21280114;"Store at 2–8°C; REF 9K059";
43;EPSON Þerit Kartuþu ERC-09;EPSON Ribbon Cartridge ERC-09;EPSON Ribbon Cartridge ERC-09 CHINA PAT.P.;Epson, China;Genel Sarf;Printer ribbon cartridge;10 ????/ pack;;Cartridge;1;Epson;;;
44;"""ClipTip"" filtreli pipet uçlarý, 1000 µl, 8×96 adet";"""ClipTip"" pipette tips, filtered, 1000 µl, 8*96 pcs";REF 94420713;Thermo Fisher Scientific, USA;Pipetleme;Filtered pipette tip;3 ????/ pack;"ClipTip filtered pipette tip 1000 µL; sterile; with clip-in rack; 8×96 tips/pack; compatible with ClipTip pipettes";Pack;768 tips (8×96);Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/94420713;"Store at RT; DNase/RNase-free";
45;ClipTip™ filtreli pipet uçlarý;"ClipTip&trade; Filtered Pipette Tips";REF 94410713;Thermo Fisher Scientific, USA;Pipetleme;Filtered pipette tip;17 pack;"ClipTip filtered pipette tip; sterile; rack format; compatible with ClipTip pipettes";Pack;1;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/94410713;"Store at RT; DNase/RNase-free";
46;Agilent GC için helyum gazý, %99,999, 50 L;Helium gas for Agilent GC, 99.999%, 50 L;"99,9999%, 50 Litr
CAS ?: 7440-59-7
EC ?: 231-168-5";Asalgaz, Turkey;Genel Sarf;Laboratory gas - Helium;50 pcs;;Cylinder;50 L;Asalgaz, Turkey;;;
47;Agilent GC için argon gazý, %99,99, 50 L;Argon gas for Agilent GC, 99.99%, 50 L;"99,999%, 50 Litr
CAS ?: 7440-37-1
EC ?: 231-147-0";Asalgaz, Turkey;Genel Sarf;Laboratory gas - Argon;10 ??./ pcs;;Cylinder;50 L;Asalgaz, Turkey;;;
48;Carl Roth Sodyum klorür, ?%99,5, 1 kg;Carl Roth Sodium chloride, ?99.5 %, 1 kg;art ? 3957.1;Carl Roth, Germany;Biyokimya;Inorganic salt;50 ????/ pack;"Sodium chloride ?99.5% purity; analytical grade; 1 kg; Art. 3957.1";Bottle;1 kg;Carl Roth, Germany;https://www.carlroth.com/en-gb/catalogue/sodium-chloride/p/3957.1;Store at RT in dry conditions;
49;Amonyum format, 100 g;Ammonium formate, 100g;17843-50mg;Carl Roth, Germany;Biyokimya;LC-MS reagent;1 ????/ pack;"Ammonium formate 97%, HPLC grade; 100 g; Art. 17843; for LC-MS mobile phase preparation";Bottle;100 g;Carl Roth, Germany;https://www.carlroth.com/com/en/starting-material-for-eluent-mixtures/ammonium-formate/p/1ntk.2;Store at RT;
50;Formik asit Rotipuran, %99, 50 ml;Formic acid Rotipuran, 99%, 50 ml;85049-051;Carl Roth, Germany;Biyokimya;LC-MS reagent;1 ????/ pack;"Formic acid Rotipuran ?99%, p.a.; 50 mL; Art. 4724; for LC-MS mobile phase preparation";Bottle;50 mL;Carl Roth, Germany;https://www.carlroth.com/com/en/starting-material-for-eluent-mixtures/formic-acid/p/1ehk.1;"Corrosive; store at RT in fume hood area";
51;ROTI tampon çözeltisi, pH 4,00 ±0,02, 500 ml;ROTI buffer solution, pH 4.00 ±0.02, 500 ml;???????: P712.3     VWR 32095.184;Carl Roth, Germany;Biyokimya;pH buffer solution;1 ????/ pack;"ROTI buffer pH 4.00 ±0.02; certified reference material; 500 mL; Art. P712.3";Bottle;500 mL;Carl Roth, Germany;https://www.carlroth.com/com/en/rotistar-ph-buffer-solutions/buffer-solution-ph-4-00-%C2%B10-01-%2820-%C2%B0c%29/p/9974.1;Store at RT;
52;ROTI tampon çözeltisi, pH 10,00 ±0,02, 500 ml;ROTI buffer solution, pH 10.00 ±0.02, 500 ml;???????: P716.2 VWR 32040.185;Carl Roth, Germany;Biyokimya;pH buffer solution;1 ????/ pack;"ROTI buffer pH 10.00 ±0.02; certified reference material; 500 mL; Art. P716.2";Bottle;500 mL;Carl Roth, Germany;https://www.carlroth.com/com/en/rotistar-ph-buffer-solutions/buffer-solution-ph-10-00-%C2%B10-01-%2820-%C2%B0c%29/p/9983.1;Store at RT;
53;Hidrojen iz jeneratörü için elektrolitik hücre bloðu;Electrolytic cell block for Hydrogen Trace generator;"08-9412
08-3609
08-3644
08-3609
08-3543";Peak Scientific, UK;Genel Sarf;Hydrogen generator electrolytic cell;1 ??./ pcs;"Electrolytic cell block / cell stack for Peak Hydrogen Trace generator; spare part; Art. 08-9412/08-3609/08-3644/08-3543";Pack;1;Peak Scientific, UK;https://www.peakscientific.com/products/hydrogen/precision-hydrogen-trace-250/?utm_source=chatgpt.com;"Handle carefully; high-purity electrolyte";
54;Precision Hydrogen Trace için elektrolitik hücre bloðu;Electrolytic cell block for Precision Hydrogen Trace;05-1007;Peak Scientific, UK;Genel Sarf;Hydrogen generator electrolytic cell;1 ??./ pcs;"Electrolytic cell block for Precision Hydrogen Trace generator; Art. 05-1007";Pack;1;Peak Scientific, UK;https://www.peakscientific.com/products/hydrogen/precision-hydrogen-trace-250/?utm_source=chatgpt.com;;
55;Peak Precision Hydrogen Trace için servis kiti, 1 yýl;Service kit for Peak Precision Hydrogen Trace, 1-year;08-3609;Peak Scientific, UK;Genel Sarf;Hydrogen generator service kit;2 ?????/ kit;"Annual service kit for Precision Hydrogen Trace generator; includes valve (02-6051) ×2 and double cylinder assembly (05-1047) ×2; Art. 08-3609";Kit;1;Peak Scientific, UK;https://www.peakscientific.com/products/hydrogen/precision-hydrogen-trace-250/?utm_source=chatgpt.com;Annual maintenance;
56;Precision Hydrogen Trace için Peak servis kiti, 1 yýl;Peak service kit, Precision Hydrogen Trace, 1 year;art ? 08-9412   ???????? ??? ?????????? ??????? Precision Hydrogen Trace (08-9412)  ? ???????? ??????: ?????? (???. ?02-6051)- 2 ??., ??????? ??????? ? ????? (???. ?05-1047)-2 ??.;Peak Scientific, UK;Genel Sarf;Hydrogen generator service kit;2 ?????/ kit;"Annual service kit for Precision Hydrogen Trace generator; includes valves and cylinder assembly; Art. 08-9412";Kit;1;Peak Scientific, UK;https://www.peakscientific.com/products/hydrogen/precision-hydrogen-trace-250/?utm_source=chatgpt.com;"Annual maintenance; Art. 08-9412";
57;Standart numune, kan alkolü ve florür kantifikasyonu, 10 ml;Standard sample, Blood alcohol and fluoride quantification, 10 ml;;LGC Limited, USA;Biyokimya;Blood alcohol standard;2 ????/ pack;;Bottle;10 mL;LGC Standards / Cerilliant;;;
58;Kalibrasyon çözeltisi Cerilliant, etanol kalibrasyon kiti, 10 × 1,2 ml;Calibration solution Cerilliant, Ethanol calibration kit, 10 x 1.2 ml;CERE-034;LGC Limited, USA;Biyokimya;Ethanol calibration kit;4 ????/ pack;"Cerilliant ethanol calibration kit; 10×1.2 mL ampules; for GC headspace blood alcohol analysis; CERE-034";Kit;10×1.2 mL;LGC Standards / Cerilliant;https://www.lgcstandards.com/DE/en/Ethanol-calibration-kit/p/CERE-034;Store at +4°C;
59;Cerilliant etanol kalibrasyon kiti, 10 × 1,2 ml;Cerilliant Ethanol calibration kit, 10 x 1.2 ml;E-034-1KIT,  CAS Number 64-17-5;LGC Limited, USA;Biyokimya;Ethanol calibration kit;4 ????/ pack;"Cerilliant ethanol calibration kit; 10×1.2 mL; CAS 64-17-5; E-034-1KIT";Kit;10×1.2 mL;LGC Standards / Cerilliant;https://www.cerilliant.com/products/catalog/items/details?itemNo=c6505bee-b8bb-4198-a08e-eb5d9479a800&item=E-034;1.2 mL/ampoule, 2 ampoules of each concentration, 10 ampoules/kit;
60;Vidalý kapaklý idrar kaplarý, 100 ml, 500 adet/paket;Urine containers with screw cap, 100 ml, 500 pcs/pack;Order number 75.1354.001;Kabe Labortechnik, ???????? / Germany;Genel Sarf;Sample collection container;10 ????/ pack;"Polypropylene urine sample container with screw cap; 100 mL; 500 pcs/pack; sterile";Pack;500;Kabe Labortechnik, Germany;https://www.trendyol.com/genel-markalar/idrar-numune-kabi-kirmizi-250-adet-100-ml-p-88729811;"Single use; sterile";
61;VACUSERA vakum tüpleri, NaF+K3 EDTA, 4 ml, 1200 adet;VACUSERA vacuum tubes, NaF+K3 Edta, 4 ml, 1200 pcs;234704;Disera,  / Turkey;Genel Sarf;Vacuum blood collection tube;6 ????/ pack;;;;Disera, Turkey;;;
62;Agilent LC servis kiti, 1 yýl (Jet Clean dahil);Agilent LC service kit, 1 year (with jet clean);G2571-67001  G1964-20402;Agilent;Genel Sarf;HPLC maintenance kit;2 ?????/ kit;"Agilent LC annual service kit with Jet Clean; includes seals, pistons and wash kit; G2571-67001 / G1964-20402";Kit;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G2571-67001;Annual preventive maintenance;
63;Agilent LC için servis kiti, 1 yýl (Jet Clean dahil);Service kit for Agilent LC, 1-year (incl. Jet Clean);G2571-67001 Canted Coil Spring, 8.9mm OD | ChromTech    .;Agilent;Genel Sarf;HPLC maintenance kit;2 ?????/ kit;"Agilent LC annual service kit with Jet Clean; G2571-67001";Kit;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G2571-67001;Annual preventive maintenance;
64;Agilent GC cihazý için servis kiti, 1 yýl;Service kit for Agilent GC instrument, 1-year;Part Number: 5188-6496;Agilent;Genel Sarf;GC maintenance kit;2 ?????/ kit;"Agilent GC 7890 annual service kit; Part 5188-6496; includes septa, liners, ferrules and O-rings";Kit;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-5188-6496/5188-6496;Annual preventive maintenance;
65;GC 7890 için filament montajý (G7005-60061);Filament Assembly for GC 7890 (G7005-60061);Part ? G7005-60061;Agilent;Genel Sarf;GC spare part - filament;4 ????/ pack;"Filament assembly for Agilent GC 7890 detector; Part G7005-60061";Pack;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-G7005-60061/G7005-60061;"Fragile; handle with care";
66;Agilent için polimer ayaklý vial insertleri, 100 adet;Vial inserts with polymer feet for Agilent, 100 pcs;5181-1270;Agilent;Genel Sarf;GC vial insert;10 ????/ pack;"Deactivated vial inserts with polymer feet for Agilent LC/GC autosampler; 100 pcs; Art. 5181-1270";Pack;100;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-5181-1270/5181-1270;;
67;Agilent 7890 AP kartý (analog ve güç devresi) (yenilenmiþ);Agilent 7890 AP Board (Analog & power printed circuit) (G3430-61850/G3430-60151/G3430-60150) (Refurbished);G3430-60151;Agilent;Genel Sarf;GC spare part - circuit board;2 ????/ pack;"Agilent 7890 Analog & Power Printed Circuit Board (AP Board); G3430-60151; refurbished";Pack;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G3430-60151;Obsolete. No replacement recommendation. FP Analog And Power PCA;
68;Agilent GC 7890 sistemi için ana kart;Mainboard for Agilent GC 7890 system;OEM Reference Number: G1099-65010;Agilent;Genel Sarf;GC spare part - mainboard;1 ????/ pack;"Mainboard for Agilent GC 7890 system; OEM Ref G1099-65010";Pack;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G1099-65010;ESD sensitive;
69;1290 Infinity II otomatik örnekleyici için servis kiti;Service kit for 1290 Infinity II autosampler;G7161-68740;Agilent;Genel Sarf;HPLC autosampler service kit;2 ????/ pack;"Service kit for Agilent 1290 Infinity II autosampler; G7161-68740; includes needle, seals, rotor";Kit;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=G7161-68740;Annual maintenance;
