;;;;;;;;;;;;;;;;
LABORATUVAR SARF MALZEMELERÝ — ÜRÜN GÝRÝÞ ÞABLONU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
NO;ÜRÜN KÝMLÝÐÝ;;;;TEKNÝK ÖZELLÝKLER;;;;;PAKETLEME;;;TEDARÝKÇÝ;WEB / NOTLAR;;
9;GlobalFiler™ PCR Amplification Kit;GlobalFiler™ PCR Amplification Kit;4476135;Thermo Fisher Scientific, USA;Genomik & Sekanslama;STR PCR amplification kit;4 ?????/ kit;"6-dye, 24-locus STR kit for casework samples; ~80 min amplification; CODIS/ENFSI compatible; 10 mini-STRs included";"The GlobalFiler PCR Amplification Kit is the first 6-dye, 24-locus STR kit that combines maximum compatibility with global databasing loci standards, with dramatically reduced amplification time and superior discrimination power, helping to enable forensic DNA labs worldwide to maximize information recovery and improve overall efficiency. The GlobalFiler kit is part of a fully integrated and validated forensic DNA workflow backed by best-in-class global training, service, and support. This kit is optimized for casework samples and is also available in a format containing an internal quality control (IQC) system (Cat. No. A43565), helping forensic DNA labs worldwide maximize information recovery and improve overall efficiency. For database and single-source samples, please see our GlobalFiler Express PCR Amplification Kit (Cat. No. 4476609).

Key Features:

Efficient protocols minimize amplification time compared to previous-generation kits
An optimized buffer system and expanded DNA input volume delivers maximum sensitivity for trace/low level DNA samples
Enhanced intracolor balance simplifies interpretation of mixture samples
The inclusion of 10 mini-STRs maximizes results from degraded samples
The only kit with all markers recommended for inclusion by the CODIS Core Loci Working Group, including all markers commonly used in Europe, for maximum global database compatibility
The GlobalFiler kit is a robust and reliable single-amplification STR multiplex kit optimized for use with the most challenging casework samples. The kit leverages new dyes for the incorporation of additional markers, generating the most discriminating kit available to the forensic community. The kit contains all of the markers included in the major global databases, including 10 mini-STRs, designed to deliver optimized results with even highly degraded samples.

Developed specifically for casework applications, the GlobalFiler kit contains a buffer system that delivers greater sensitivity for enhanced performance with inhibited and low-concentration DNA samples. The GlobalFiler kit utilizes the latest advances in oligo synthesis and purification, which provide a clean baseline and a balanced profile, resulting in simplified data analysis. Maintenance of the NGM SElect and Identifiler primer sequences helps ensure maximum concordance with previously typed samples. In addition, multiple gender markers have been added to the multiplex to enable accurate typing of male samples, even highly degraded or Y-negative samples, while increased genotyping accuracy is obtained with the expansion of the allelic ladder allele ranges to include all rare alleles as described in the literature (STRbase).

Experience Matters

We are the only company in the world that designs and validates its reagents, instruments, and data analysis software together as an integrated system for DNA testing. Technical service scientists and field application specialists are available to answer your technical questions, review data, and make recommendations on how to perform assays and troubleshoot results. All of these resources help ensure success when using Applied Biosystems human identification solutions in your laboratory.

For licensing and limited use restrictions visit thermofisher.com/HIDlicensing.
";Kit;200 rxn;kit;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4476135;"Store at -15°C to -25°C; after opening store at 2–8°C for up to 6 months";
10;Prep-n-Go™ Buffer (for buccal swabs);Prep-n-Go™ Buffer (for buccal swabs);4471406;Life Technologies Corporation;Genomik & Sekanslama;Direct PCR buffer;4 ????/ pack;"Buffer enabling direct PCR amplification from buccal swabs without extraction; 200 rxn";"Prep-n-Go™ Buffer (for buccal swabs) is a best-in-class buffer designed to enable high-quality direct PCR amplification of single source samples collected on buccal swabs and amplified using the AmpFLSTR™ Identifiler™ Direct PCR Amplification Kit or other Applied Biosystems™ STR direct chemistries. This product expands direct PCR amplification capabilities to laboratories that use a wide variety of substrates, and is readily adaptable to both manual and automated workflows. No purification, extraction, or quantification is required, thus enabling laboratories to significantly expand their throughput capabilities, while also maximizing sample integrity and data quality.

Key Features:

• Designed to provide consistent, interpretable peaks above the detection threshold, and high quality, well-balanced STR profiles
• Helps simplify automation requirements and expand throughput capabilities
• Helps maximize sample integrity and data quality
• Developed according to stringent performance standards to enable higher data reproducibility, reduced artifacts, and increased success rates with Applied Biosystems™ STR direct amplification solutions";Pack;200 rxn;pack;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4471406;Store at -20°C;
11;Forensic DNA Extraction Kit, PrepFiler Express™;Forensic DNA Extraction Kit, PrepFiler Express™;4441352;Life Technologies Corporation;Genomik & Sekanslama;DNA extraction kit;7 ?????/ kit;"Forensic DNA extraction kit for casework samples using magnetic bead technology; 52 tests/kit";"This kit is for use with the AutoMate Express Forensic DNA Extraction System. It is suitable for the majority of standard sample types encountered in forensic laboratories such as bodily fluids on different substrates including FTA paper, cotton swabs, cotton cloth, denim and many others. We have designed the PrepFiler chemistry specifically to improve the quantity and quality of DNA isolated from forensic samples, thereby increasing the potential to obtain maximum information from downstream Short Tandem Repeat (STR) analysis.

Key Product Features:
• Designed to improve the yield and overall purity of DNA isolated from both routine and challenging forensic samples.
• Provides high quality DNA, free of PCR inhibitors and suitable for downstream applications such as quantitative real-time PCR and short tandem repeat (STR) analysis
• Simple and fast separation of substrate from lysate with the unique PrepFiler LySep Column
• Quick and easy run setup with ready-to-use pre-filled cartridges
• Closed system that minimizes the risk of contamination and transposition errors
• Processes 1 to 13 samples in a single run
• Rapid implementation with pre-validated, pre-programmed instrument protocols
• Integrated solution including novel reagents, consumables and automation to provide time saving, cost effective and reliable DNA extraction
• Improves downstream genotyping (STR) success rate and profile quality

Streamlined Off-Line Lysis
The PrepFiler Express Kits include the innovative PrepFiler LySep Column, which dramatically streamlines the off-line lysis portion of the extraction method. PrepFiler Lysis buffer or PrepFiler BTA Lysis buffer is added directly into the PrepFiler LySep Column along with the sample for incubation. Next, the PrepFiler LySep Column is quickly centrifuged which permits lysate flow through the burstable membrane while the substrate remains behind in the column. The sample tube is then simply ready to be placed on the AutoMate Express instrument. This eliminates the manual lysate and substrate transfer steps, saving time and minimizing cross contamination and sample transposition events.

For Research, Forensic, or Paternity Use Only. Not intended for any animal or human therapeutic or diagnostic use.";Kit;52 tests;kit;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4441352;"Store at RT; ISO 18385 compliant";
12;Forensic DNA Extraction Kit, PrepFiler Express BTA™;Forensic DNA Extraction Kit, PrepFiler Express BTA™;4441351;Life Technologies Corporation;Genomik & Sekanslama;DNA extraction kit;7 ?????/ kit;"Forensic DNA extraction kit with BTA reagents for challenging matrices; 52 tests/kit";"This kit is for use with the AutoMate Express Forensic DNA Extraction System. It was designed specifically for challenging samples such as bones, teeth and adhesive based samples such as cigarette butts and tape lifts. We have designed the PrepFiler chemistry specifically to improve the quantity and quality of DNA isolated from forensic samples, thereby increasing the potential to obtain maximum information from downstream Short Tandem Repeat (STR) analysis.

Key Product Features:
• Designed to improve the yield and overall purity of DNA isolated from both routine and challenging forensic samples.
• Provides high quality DNA, free of PCR inhibitors and suitable for downstream applications such as quantitative real-time PCR and short tandem repeat (STR) analysis
• Simple and fast separation of substrate from lysate with the unique PrepFiler LySep Column
• Quick and easy run setup with ready-to-use pre-filled cartridges
• Closed system that minimizes the risk of contamination and transposition errors
• Processes 1 to 13 samples in a single run
• Rapid implementation with pre-validated, pre-programmed instrument protocols
• Integrated solution including novel reagents, consumables and automation to provide time saving, cost effective and reliable DNA extraction
• Improves downstream genotyping (STR) success rate and profile quality

Streamlined Off-Line Lysis
The PrepFiler Express Kits include the innovative PrepFiler LySep Column, which dramatically streamlines the off-line lysis portion of the extraction method. PrepFiler Lysis buffer or PrepFiler BTA Lysis buffer is added directly into the PrepFiler LySep Column along with the sample for incubation. Next, the PrepFiler LySep Column is quickly centrifuged which permits lysate flow through the burstable membrane while the substrate remains behind in the column. The sample tube is then simply ready to be placed on the AutoMate Express instrument. This eliminates the manual lysate and substrate transfer steps, saving time and minimizing cross contamination and sample transposition events.

For Research, Forensic, or Paternity Use Only. Not intended for any animal or human therapeutic or diagnostic use.";Kit;52 tests;kit;Thermo Fisher Scientific;https://www.thermofisher.com/order/catalog/product/4441351;"Store at RT; ISO 18385 compliant";
13;PMB test for blood stain identification;PMB test for blood stain identification;LOT 240032;Seratec GmbH, Germany;Biyokimya;Blood stain identification test;50 ????/ pack;Test detects the presence of human hemoglobin and D-dimer (a degradation protein found in menstrual blood). This monoclonal antibody test is robust and easy to use in both the laboratory and the field. ;"Benefits

30 individually sealed cassettes and 30 tubes with 1.5mL each of dilution buffer;
Fast and reliable: results in only 10 minutes;
Sensitive: detects as little as 20ng/mL of human hemoglobin and 400 ng/mL of D-dimer;
Simple: easy to use, no special training necessary; and
Compatible with DNA extraction and typing.";Pack;30 tests;pack;Seratec GmbH;;;
14;Antiserum against human serum proteins;Antiserum against human serum proteins;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;160 ml / ??;;???????? ???????? ??? ??????????? ??????? ???????????? ?????? ???????? ? ???????-??????????? ?????????. ??????? – ?????????? ?????? ?? 1-2 ??.;Bottle;160 mL;mL;Gematolog, Russia;;;
15;Antiserum against porcine serum proteins;Antiserum against porcine serum proteins;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;10 ml / ??;;???????? ???????? ??? ??????????? ??????? ???????????? ?????? ?????? ? ???????-??????????? ?????????. ??????? – ?????????? ?????? ?? 1-2 ??;Bottle;10 mL;mL;Gematolog, Russia;;;
16;Antiserum against cattle serum proteins;Antiserum against cattle serum proteins;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;20 ml / ??;;???????? ???????? ??? ??????????? ??????? ???????????? ?????? ???????? ???????? ????? ? ???????-??????????? ?????????. ??????? – ?????????? ?????? ?? 1-2 ??;Bottle;20 mL;mL;Gematolog, Russia;;;
17;Antiserum against equine serum proteins;Antiserum against equine serum proteins;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;10 ml / ??;;???????? ???????? ??? ??????????? ??????? ???????????? ?????? ?????? ? ???????-??????????? ?????????. ??????? – ?????????? ?????? ?? 1-2 ??;Bottle;10 mL;mL;Gematolog, Russia;;;
18;Antiserum against avian serum proteins;Antiserum against avian serum proteins;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;15 ml / ??;;???????? ???????? ??? ??????????? ??????? ???????????? ?????? ????? ? ???????-??????????? ?????????. ??????? – ?????????? ?????? ?? 1-2 ??;Bottle;15 mL;mL;Gematolog, Russia;;;
19;Antiserum against dog serum proteins;Antiserum against dog serum proteins;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / ??;;???????? ???????? ??? ??????????? ??????? ???????????? ?????? ?????? ? ???????-??????????? ?????????. ??????? – ?????????? ?????? ?? 1-2 ??;Bottle;5 mL;mL;Gematolog, Russia;;;
20;Antiserum against cat serum proteins;Antiserum against cat serum proteins;20.59.52.199;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / ??;;???????? ???????? ??? ??????????? ??????? ???????????? ?????? ????? ? ???????-??????????? ?????????. ??????? – ?????????? ?????? ?? 1-2 ??.;Bottle;5 mL;mL;Gematolog, Russia;;;
21;Antiserum against rabbit serum proteins;Antiserum against rabbit serum proteins;;Gematolog, Russia;Biyokimya;Antiserum / immunodiffusion reagent;5 ml / ??;;;Bottle;5 mL;mL;Gematolog, Russia;;;
22;Anti-M hemagglutinating serum;Anti-M hemagglutinating serum;;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / ??;;;Bottle;30 mL;mL;Gematolog, Russia;;;
23;Anti-N hemagglutinating serum;Anti-N hemagglutinating serum;;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / ??;;;Bottle;30 mL;mL;Gematolog, Russia;;;
24;Anti-P hemagglutinating serum;Anti-P hemagglutinating serum;;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / ??;;;Bottle;30 mL;mL;Gematolog, Russia;;;
25;Kell hemagglutinating serum;Kell hemagglutinating serum;;Gematolog, Russia;Biyokimya;Hemagglutinating serum;30 ml / ??;;;Bottle;30 mL;mL;Gematolog, Russia;;;
26;Anti-A Monoclonal Antibodies for Blood Typing;Anti-A Monoclonal Antibodies for Blood Typing;???? 2008/04007 — ??????????????? ????????????? ?? ??????????? ??????? «????????? ????-?, ????-? ? ????-??» (???????? ?????????????? ????-?, ????-?, ????-??) ?? ?? 9398-001-27575295-2004;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;500 ml / ??;;;Bottle;500 mL;mL;Gematolog, Russia;;;
27;Anti-B Monoclonal Antibodies for Blood Typing;Anti-B Monoclonal Antibodies for Blood Typing;???? 2008/04007 — ??????????????? ????????????? ?? ??????????? ??????? «????????? ????-?, ????-? ? ????-??» (???????? ?????????????? ????-?, ????-?, ????-??) ?? ?? 9398-001-27575295-2004;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;500 ml / ??;;;Bottle;500 mL;mL;Gematolog, Russia;;;
28;Anti-H Monoclonal Antibodies for Blood Typing;Anti-H Monoclonal Antibodies for Blood Typing;;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;100 ml / ??;;;Bottle;100 mL;mL;Gematolog, Russia;;;
29; Anti-D monoclonal blood grouping reagent; Anti-D monoclonal blood grouping reagent;;Gematolog, Russia;Biyokimya;Monoclonal blood grouping reagent;30 ml / ??;;;Bottle;30 mL;mL;Gematolog, Russia;;;
30;Microtome blades (50pcs/pack);Microtome blades (50pcs/pack);28407004;Plasma Blade LPH;Genel Sarf;Histology blade;100 ????/ pack;;"Disposable blades (plasma coated)
Low profile plasma LPH for hard specimens";Pack;100;pack;Plasma Blade LPH;;;
31; Mayer's Hematoxylin 1 L.; Mayer's Hematoxylin 1 L.;H?-G0-DL01;BioWitrum, Russia;Biyokimya;Histological staining reagent;10 ?????/ liter;;;Bottle;1 L;liter;BioWitrum, Russia;;;
32;Eosin water-alcoholic concentrated;Eosin water-alcoholic concentrated;H?-EK-A500;BioWitrum, Russia;Biyokimya;Histological staining reagent;20 ?????/ liter;;;Bottle;500 mL;liter;BioWitrum, Russia;;;
